ALARM_STATUS,MACH_XCOR,MACH_YCOR,MACH_ZCOR,ABS_XCOR,ABS_YCOR,ABS_ZCOR,RELV_XCOR,RELV_YCOR,RELV_ZCOR,DIST_XCOR,DIST_YCOR,DIST_ZCOR,START_TIME,WORK_ONCE_TIME,WORK_ALL_TIME,WORK_NUM,CUT_TIME,PRG_NAME,FEED_SPEED,SPD_SPEED,FEDSPD_RATE
无报警,-772.6,-232.4,-466.4,-287.6,0,19.07,-287.6,0,0,0,0,0,945793,0,358836,56393,320783,9001,0,3000,155
无报警,648.226,0,-254.54,144,266.99,100,144,266.99,90,0,0,0,741420,0,381417,26402,331230,10,0,0,185
无报警,-409.212,-188.295,-274.49,0,0,18.29,0,0,8.29,0,0,0,724326,0,23058,69300,279357,9001,0,0,185
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535422,84,105453,22130,235347,31,0,0,155
无报警,369.08,-259.687,-256.033,-11.9,121.733,154.367,-11.9,121.733,142.667,0,0,0,806047,0,300594,30592,326009,1,0,0,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535445,84,105453,22130,235347,31,0,0,155
无报警,-472.9,-290.4,-393.87,12.1,-58,82.63,12.1,-58,72.53,0,0,0,945816,0,358836,56393,320783,9001,0,0,155
无报警,648.226,0,-254.54,144,266.99,100,144,266.99,90,0,0,0,741443,0,381418,26404,331230,10,0,0,155
无报警,571.48,-250.297,-377.01,190.5,132.19,33.39,190.5,131.656,21.69,0,-265.34,0,806071,20,300615,30592,326029,100,1000,4499,155
无报警,-409.062,-188.315,-235.1,0,0,57.68,0,0,47.68,0,0,0,724349,0,23061,69301,279359,31,0,501,185
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535445,84,105453,22130,235347,31,0,0,155
无报警,-472.9,-290.4,-393.87,12.1,-58,82.63,12.1,-58,72.53,0,0,0,945816,0,358836,56393,320783,9001,0,0,155
无报警,648.226,0,-254.54,144,266.99,100,144,266.99,90,0,0,0,741443,0,381418,26404,331230,10,0,0,155
无报警,-524.589,-139.466,-318.405,-99.5,111.1,14.025,-99.5,111.1,44.995,0,0,35.975,535792,8,105571,22131,235457,31,0,0,255
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806522,50,300966,30596,326351,30,0,0,155
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806522,50,300966,30596,326351,30,0,0,155
无报警,-572.417,-85.901,-478.45,-86.777,149.999,0,-86.777,149.999,-11.35,-206.623,0,0,946265,19,359039,56394,320977,30,1500,3000,155
无报警,-524.589,-139.466,-318.405,-99.5,111.1,14.025,-99.5,111.1,44.995,0,0,35.975,535792,8,105571,22131,235457,31,0,0,255
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806522,50,300966,30596,326351,30,0,0,155
无报警,-641.217,-85.901,-478.45,-154.777,149.999,0,-155.577,149.999,-11.35,-137.823,0,0,946265,19,359039,56394,320977,30,1500,3000,155
无报警,-524.589,-139.466,-318.405,-99.5,111.1,14.025,-99.5,111.1,44.995,0,0,35.975,535792,8,105571,22131,235457,31,0,0,255
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806522,50,300966,30596,326351,30,0,0,155
无报警,-710.017,-85.901,-478.45,-223.577,149.999,0,-224.377,149.999,-11.35,-69.023,0,0,946265,19,359039,56394,320977,30,1500,3000,155
无报警,-524.589,-139.466,-318.405,-99.5,111.1,14.025,-99.5,111.1,44.995,0,0,35.975,535792,8,105571,22131,235457,31,0,0,255
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806522,50,300966,30596,326351,30,0,0,155
无报警,-778.817,-85.901,-478.45,-293.177,149.999,0,-293.177,149.999,-11.35,-0.223,74.999,0,946265,19,359039,56394,320977,30,1500,3000,155
无报警,-524.589,-139.466,-318.405,-99.5,111.1,14.025,-99.5,111.1,44.995,0,0,35.975,535792,8,105571,22131,235457,31,0,0,255
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806522,50,300966,30596,326351,30,0,0,155
无报警,-816.295,-39.611,-478.45,-331.796,194.726,0,-331.634,195.509,-11.35,36.259,27.933,0,946265,19,359039,56394,320977,30,1500,3000,155
无报警,-524.589,-139.466,-318.405,-99.5,111.1,14.025,-99.5,111.1,44.995,0,0,35.975,535792,8,105571,22131,235457,31,0,0,255
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806522,50,300966,30596,326351,30,0,0,155
无报警,-761.871,-10.902,-478.45,-278.631,224.998,0,-277.831,224.998,-11.35,621.231,0,0,946265,19,359039,56394,320977,30,1500,3000,155
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806529,50,300966,30596,326351,30,0,0,155
无报警,-311.89,-38.3,-438.505,172.95,197.6,41.02,172.95,197.6,-12.15,-157.9,0,-0.381,946272,2,359043,56395,320980,30,1985,4001,155
无报警,-524.589,-146.466,-282.43,-99.5,104.1,50,-99.5,104.1,80.97,-16,7,0,535799,9,105572,22131,235458,31,0,0,255
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806529,50,300966,30596,326351,30,0,0,155
无报警,-469.79,-59.867,-439.295,15.05,178.167,39.155,15.05,177.1,-13.435,0,-17.267,0,946272,3,359043,56395,320980,30,1979,4001,155
无报警,-524.589,-146.466,-282.43,-99.5,104.1,50,-99.5,104.1,80.97,-16,7,0,535799,9,105572,22131,235458,31,0,0,255
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806529,50,300966,30596,326351,30,0,0,155
无报警,535.187,-371.155,-392.599,175.771,-24.046,22.601,176.508,-23.135,8.901,1.996,1.627,0,805659,70,300443,30589,325868,100,2199,4499,155
无报警,549.084,0,-20.64,0.165,409.26,156.14,0.165,409.26,146.14,0,0,0,741045,0,381386,26352,331220,9001,0,22,165
无报警,-423.336,-202.8,-17.9,-60.1,-14.44,340.38,-60.1,-14.44,330.41,0,0,0,535050,0,105352,22128,235256,9001,0,0,175
无报警,-395.522,0,-217.7,13.74,188.321,89.74,0,0.004,0.01,0,0,0,723950,8,22840,69274,279151,30,0,0,155
无报警,-479.223,-139.79,-237.888,-79.145,58.1,246.67,-176.9,0.2,-233.423,0,0,0,520921,0,199081,37235,224570,32,0,601,185
无报警,-182.373,-235.735,-424.2,303.227,-0.035,61.27,303.5,0,51.27,0,0,0,945290,0,358736,56392,320694,30,0,0,215
无报警,-448.858,-412.558,0,14,100,0,-448.846,-412.551,0,0,0,1896669.5,389115,1,144661,100,118544,150,0,0,155
无报警,458.09,-361.256,-392.599,100.24,-14.73,22.601,100.24,-13.557,8.901,79.859,0.52,0,805659,70,300443,30589,325868,100,2200,4499,155
无报警,-423.336,-202.8,-17.9,-60.1,-14.44,340.38,-60.1,-14.44,330.41,0,0,0,535050,0,105352,22128,235256,9001,0,0,175
无报警,549.084,0,-20.64,0.165,409.26,156.14,0.165,409.26,146.14,0,0,0,741045,0,381386,26352,331220,9001,0,0,165
无报警,-395.522,0,-217.7,13.74,188.321,89.74,0,0.004,0.01,0,0,0,723950,8,22840,69274,279151,30,0,0,155
无报警,-479.223,-139.79,-237.888,-79.145,58.1,246.67,-176.9,0.2,-233.423,0,0,0,520921,0,199081,37235,224570,32,0,601,185
无报警,-182.373,-235.735,-424.2,303.227,-0.035,61.27,303.5,0,51.27,0,0,0,945290,0,358736,56392,320694,30,0,0,215
无报警,-423.336,-202.8,-17.9,-60.1,-14.44,340.38,-60.1,-14.44,330.41,0,0,0,535050,0,105352,22128,235256,9001,0,0,175
无报警,-390.773,-139.79,-237.888,9.305,58.1,246.67,-88.45,0.2,-233.423,0,0,0,520922,0,199081,37235,224570,32,0,601,185
无报警,549.084,0,-20.64,0.165,409.26,156.14,0.165,409.26,146.14,0,0,0,741046,0,381386,26352,331220,0,0,0,165
无报警,510.367,-315.873,-392.599,150.171,32.977,22.601,151.344,32.977,8.901,17.649,0,0,805659,71,300443,30589,325869,100,2200,4499,155
无报警,-395.522,0,-217.7,13.74,188.321,89.74,0,0.004,0.01,0,0,0,723950,8,22840,69274,279151,30,0,0,155
无报警,-423.336,-202.8,-17.9,-60.1,-14.44,340.38,-60.1,-14.44,330.41,0,0,0,535050,0,105352,22128,235256,9001,0,0,175
无报警,-182.373,-235.735,-424.2,303.227,-0.035,61.27,303.5,0,51.27,0,0,0,945290,0,358736,56392,320694,30,0,0,215
无报警,-390.773,-139.79,-206.988,9.305,58.1,275.57,0,0.2,-202.523,0,0,0,520922,0,199081,37235,224570,32,3429,601,185
无报警,-397.007,-156.874,-4.458,3.071,41.016,480.1,0,0,460.579,0,0,0,521175,0,199081,37235,224570,1,0,0,175
无报警,-445.136,-562.179,1896669.5,15.2,-11.723,1896669.5,-445.124,-562.145,1896669.5,0,-1.213,0,389353,0,144777,78,118634,144,60,599,155
无报警,680.306,0,-175.42,127.679,409.18,3,-35.83,326.1,359.57,0,0,0,741301,0,381403,26372,331226,30,0,0,155
无报警,-395.591,-188.04,-320.453,13.684,0.228,-13.013,-0.07,-188.037,-102.742,-0.238,0.277,-0.004,724206,8,23035,69296,279339,30,99,5001,155
无报警,-397.007,-156.874,-4.458,3.071,41.016,480.1,0,0,460.579,0,0,0,521175,0,199081,37235,224570,1,0,0,175
无报警,-446.336,-479.725,1896669.5,14,60,1896669.5,-446.324,-485.057,1896669.5,0,29.333,1896669.5,389353,0,144777,78,118634,144,0,599,155
无报警,-470.773,-15.49,-265.768,-70.695,182.4,218.79,-80,124.5,-261.303,0,0,0,520938,0,199081,37235,224570,32,0,0,185
无报警,-422.842,-188.764,-319.93,-13.629,-0.347,-12.489,-27.345,-188.713,-102.22,0.293,-0.204,-0.004,723966,4,22854,69275,279164,30,100,5001,155
无报警,-446.136,-552.604,1896669.5,14.2,-2.106,1896669.5,-446.124,-552.544,1896669.5,0,-6.785,1896669.5,389132,0,144669,105,118551,150,100,500,155
无报警,560.169,0,-76.94,0.165,408.56,100,0.165,408.56,90,0,0,0,741062,0,381389,26355,331221,30,0,0,165
无报警,-470.773,-15.49,-265.768,-70.695,182.4,218.79,-80,124.5,-261.303,0,0,0,520938,0,199081,37235,224570,32,0,0,185
无报警,-422.826,-188.796,-319.981,-13.613,-0.378,-12.54,-27.328,-188.744,-102.27,0.265,-0.183,-0.004,723967,4,22854,69275,279164,30,100,5002,155
无报警,-446.136,-557.128,0,14.2,-6.63,0,-446.124,-557.068,0,0,-2.314,277753.03,389132,0,144669,105,118551,150,100,498,155
无报警,560.169,0,-76.94,0.165,408.56,100,0.165,408.56,90,0,0,0,741062,0,381389,26355,331221,0,0,0,165
无报警,-470.773,-15.49,-265.768,-70.695,182.4,218.79,-80,124.5,-261.303,0,0,0,520938,0,199081,37235,224570,32,0,0,185
无报警,-422.804,-188.822,-320.031,-13.572,-0.457,-12.591,-27.282,-188.818,-102.321,0.236,-0.162,-0.003,723967,4,22854,69275,279164,30,100,5001,155
无报警,-445.536,-551.007,0,14.8,-0.509,0,-445.524,-550.947,0,0,-8.382,1896669.5,389132,0,144669,105,118551,150,100,500,155
无报警,560.169,0,-76.94,0.165,408.56,100,0.165,408.56,90,0,0,0,741062,0,381389,26355,331221,0,6000,0,165
无报警,-470.773,-15.49,-265.768,-70.695,182.4,218.79,-80,124.5,-261.303,0,0,0,520938,0,199081,37235,224570,32,0,0,185
无报警,-422.731,-188.873,-320.082,-13.555,-0.488,-12.641,-27.252,-188.839,-102.372,0.163,-0.112,-0.002,723967,4,22854,69275,279164,30,99,5002,155
无报警,-445.536,-555.478,277753.03,14.8,-4.98,277753.03,-445.524,-555.418,277753.03,0,-3.911,277753.03,389132,0,144670,105,118552,150,100,499,155
无报警,560.169,0,-20.64,0.165,408.56,156.3,0.165,408.56,146.3,0,0,0,741062,0,381389,26355,331221,9001,0,0,165
无报警,-470.773,-15.49,-265.768,-70.695,182.4,218.79,-80,124.5,-261.303,0,0,0,520938,0,199081,37235,224570,32,0,0,185
无报警,-445.936,-555.909,0,14.4,-8.85,0,-445.924,-558.568,0,0,2.9,1896669.5,389132,0,144670,105,118552,150,100,498,155
无报警,-423.336,-202.8,-17.9,-60.1,-14.44,340.38,-60.1,-14.44,330.41,0,0,0,535076,0,105352,22128,235256,9001,0,0,175
无报警,-763.733,-108.796,-512.045,-278.133,126.904,-26.575,-277.86,126.939,-10.195,2.133,4.096,0,945316,1,358737,56392,320695,30,0,0,155
无报警,545.634,-127.4,-20.64,0.165,284.3,156.57,0.165,283,146.57,0,0,0,741072,0,381390,26356,331221,9001,2786,600,165
无报警,476.347,-249.918,-399.472,120.844,98.932,15.728,119.671,98.932,2.028,-236.168,0,0,805685,97,300470,30589,325894,100,2200,4499,155
无报警,-470.773,-15.49,-265.768,-70.695,182.4,218.79,-80,124.5,-261.303,0,0,0,520948,0,199081,37235,224570,32,0,0,185
无报警,-470.773,-15.49,-265.768,-70.695,182.4,218.79,-80,124.5,-261.303,0,0,0,520948,0,199081,37235,224570,32,0,0,185
无报警,-448.858,-412.558,1896669.5,14,100,1896669.5,-448.846,-412.551,1896669.5,0,0,0,389144,1,144677,110,118558,150,0,0,155
无报警,365.768,-433.125,-400.454,5.571,-84.275,14.746,6.745,-84.275,1.046,154.101,0,0,805688,99,300472,30589,325897,100,2200,4499,155
无报警,-409.212,-188.295,-274.49,0,0,18.29,0,0,8.29,0,0,0,724326,0,23058,69300,279357,9001,0,0,185
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535422,84,105453,22130,235347,31,0,0,155
无报警,369.08,-259.687,-256.033,-11.9,121.733,154.367,-11.9,121.733,142.667,0,0,0,806047,0,300594,30592,326009,1,0,0,155
无报警,-662.8,-232.4,-466.4,-177.8,0,10,-177.8,0,0,0,0,0,945793,0,358836,56393,320783,1,0,0,155
无报警,648.226,0,-254.54,144,266.99,100,144,266.99,90,0,0,0,741420,0,381417,26402,331230,10,0,0,185
无报警,-409.212,-188.295,-274.49,0,0,18.29,0,0,8.29,0,0,0,724326,0,23058,69300,279357,9001,0,0,185
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535422,84,105453,22130,235347,31,0,0,155
无报警,369.08,-259.687,-256.033,-11.9,121.733,154.367,-11.9,121.733,142.667,0,0,0,806047,0,300594,30592,326009,1,0,0,155
无报警,-662.8,-232.4,-466.4,-177.8,0,10,-177.8,0,0,0,0,0,945793,0,358836,56393,320783,1,0,0,155
无报警,-409.212,-188.295,-274.49,0,0,18.29,0,0,8.29,0,0,0,724326,0,23058,69300,279357,9001,0,0,185
无报警,-662.8,-232.4,18,-177.8,0,494.4,-177.8,0,484.4,0,0,0,945793,0,358836,56393,320783,9001,0,0,155
无报警,-409.212,-188.295,-274.49,0,0,18.29,0,0,8.29,0,0,0,724326,0,23058,69300,279357,9001,0,0,185
无报警,482.626,-153.519,-254.54,-21.6,113.471,100,-21.6,113.471,90,-122.4,-113.471,0,741420,0,381417,26402,331230,10,0,2000,255
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535422,84,105453,22130,235347,31,0,0,155
无报警,-662.8,-232.4,18,-177.8,0,494.4,-177.8,0,484.4,0,0,0,945793,0,358836,56393,320783,9001,0,0,155
无报警,369.08,-259.687,-256.033,-11.9,121.733,154.367,-11.9,121.733,142.667,0,0,0,806048,0,300594,30592,326009,1,0,0,155
无报警,-409.212,-188.295,-274.49,0,0,18.29,0,0,8.29,0,0,0,724326,0,23058,69300,279357,9001,0,0,185
无报警,482.626,-153.519,-254.54,-21.6,113.471,100,-21.6,113.471,90,-122.4,-113.471,0,741420,0,381417,26402,331230,10,0,2000,255
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535422,84,105453,22130,235347,31,0,0,155
无报警,-662.8,-232.4,18,-177.8,0,494.4,-177.8,0,484.4,0,0,0,945793,0,358836,56393,320783,0,0,0,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535447,84,105453,22130,235347,31,0,0,155
无报警,-409.062,-188.315,-282.76,0,0,10.02,0,0,0,0,0,0,724351,0,23061,69301,279359,9001,0,0,185
无报警,-472.9,-290.4,-393.87,12.1,-58,82.63,12.1,-58,72.53,0,0,0,945818,0,358836,56393,320783,9001,0,0,155
无报警,203.629,-262.193,-395.457,-177.351,121.36,14.944,-177.351,120.294,3.243,0,-249.496,-0.141,806072,22,300616,30592,326030,100,2000,4999,155
无报警,648.226,0,-254.54,144,266.99,100,144,266.99,90,0,0,0,741445,0,381418,26404,331230,10,0,0,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535447,84,105453,22130,235347,31,0,0,155
无报警,-409.062,-188.315,-282.76,0,0,10.02,0,0,0,0,0,0,724351,0,23061,69301,279359,9001,0,0,185
无报警,-524.589,-139.466,-318.405,-99.5,111.1,14.025,-99.5,111.1,44.995,0,0,35.975,535792,8,105571,22131,235457,31,0,0,255
无报警,-624.271,-10.902,-478.45,-141.031,224.998,0,-140.231,224.998,-11.35,483.631,0,0,946266,20,359039,56394,320977,30,1500,3000,155
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806522,50,300966,30596,326351,30,0,0,155
无报警,-524.589,-139.466,-318.405,-99.5,111.1,14.025,-99.5,111.1,44.995,0,0,35.975,535792,8,105571,22131,235457,31,0,0,255
无报警,-555.471,-10.902,-478.45,-72.231,224.998,0,-71.431,224.998,-11.35,414.831,0,0,946266,20,359040,56394,320977,30,1500,3000,155
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806522,50,300966,30596,326351,30,0,0,155
无报警,-524.589,-139.466,-318.405,-99.5,111.1,14.025,-99.5,111.1,44.995,0,0,35.975,535792,8,105571,22131,235457,31,0,0,255
无报警,-486.671,-10.902,-478.45,-2.631,224.998,0,-2.631,224.998,-11.35,346.031,0,0,946266,20,359040,56394,320977,30,1500,3000,155
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806522,50,300966,30596,326351,30,0,0,155
无报警,-524.589,-139.466,-318.405,-99.5,111.1,14.025,-99.5,111.1,44.995,0,0,35.975,535792,8,105571,22131,235457,31,0,0,255
无报警,-416.271,-10.902,-478.45,66.969,224.998,0,67.769,224.998,-11.35,275.631,0,0,946266,20,359040,56394,320977,30,1500,3000,155
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806522,50,300966,30596,326351,30,0,0,155
报警,-292.534,-113.45,-467.858,2,8.5,-0.1,2,8.5,-10.1,0,0,0,521531,0,199085,37237,224573,10,0,3999,175
报警,-292.534,-113.45,-467.858,2,8.5,-0.1,2,8.5,-10.1,0,0,0,521531,0,199085,37237,224573,10,0,3999,175
报警,-423.339,-202.801,-17.906,-60.103,-14.441,340.374,0,0,0,0,0,0,535124,0,105352,22128,235256,30,0,0,175
报警,-292.534,-113.45,-459.325,2,8.5,8.433,2,8.5,-1.567,0,0,0,521531,0,199085,37237,224573,10,1000,3999,205
报警,-292.534,-113.45,-429.725,2,8.5,38.033,2,8.5,28.033,0,0,0,521531,0,199085,37237,224573,10,2000,3999,155
报警,418.731,-0.006,-247.832,37.751,381.414,162.568,0,0,0,0,0,0,806227,0,300765,30593,326166,1,0,0,155
报警,-423.339,-202.801,-17.906,-60.103,-14.441,340.374,0,0,0,0,0,0,535125,0,105352,22128,235256,30,0,0,175
报警,529.094,-0.004,-256.163,171.064,350.346,117.337,0,0,-0.001,0,0,0,805505,0,300367,30588,325795,1,1,0,155
报警,529.094,-0.004,-256.163,171.064,350.346,117.337,0,0,-0.001,0,0,0,805505,0,300367,30588,325795,1,0,0,155
报警,529.094,-0.004,-256.163,171.064,350.346,117.337,0,0,-0.001,0,0,0,805505,0,300367,30588,325795,1,0,0,155
报警,529.094,-0.004,-256.163,171.064,350.346,117.337,0,0,-0.001,0,0,0,805505,0,300367,30588,325795,1,0,0,155
报警,-292.534,-113.45,-467.858,2,8.5,-0.1,2,8.5,-10.1,0,0,0,521530,0,199085,37237,224572,10,0,3999,215
报警,-292.534,-113.45,-467.858,2,8.5,-0.1,2,8.5,-10.1,0,0,0,521530,0,199085,37237,224572,10,0,3999,255
报警,-292.534,-113.45,-467.858,2,8.5,-0.1,2,8.5,-10.1,0,0,0,521530,0,199085,37237,224572,10,0,3999,255
报警,418.731,-0.006,-247.833,37.751,381.414,162.568,0,0,-0.001,0,0,0,806231,0,300765,30593,326166,1,1,0,155
报警,418.731,-0.006,-247.832,37.751,381.414,162.568,0,0,0,0,0,0,806231,0,300765,30593,326166,1,0,0,155
报警,418.731,-0.006,-247.832,37.751,381.414,162.567,0,0,-0.001,0,0,0,806231,0,300765,30593,326166,1,0,0,155
报警,-292.534,-113.45,-467.858,2,8.5,-0.1,2,8.5,-10.1,0,0,0,521531,0,199085,37237,224573,10,0,3999,255
报警,-292.534,-113.45,-467.858,2,8.5,-0.1,2,8.5,-10.1,0,0,0,521531,0,199085,37237,224573,10,0,3999,255
